system:index,BG,BU,C,F,G,SI,SS,T,W,first,lat,lc,long,seqnum,.geo
0_00000000000000001558,383461,336956,1003540,1894,1533621,295076,330008,4510152,313605,2,42.9005604795533,dw,42.61213066593959,2344.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000135c,7860941,62,17799,185,32,3,134,6,170,3,27.12109646130962,dw,27.727652666877873,1836.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014e9,1275070,318632,2771440,11772,24970,937,1989452,1532656,426468,2,37.60752640395978,dw,31.67941059544996,2233.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001501,7765996,6191,355306,19,16,1,4617,25,176,3,30.41936447961534,dw,37.73253787142393,2257.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001392,7505748,34,21810,2,0,0,668,88,70081,3,22.637596396391135,dw,29.73831861053302,1890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014ec,14740,299447,4742473,27514,286198,327,113766,1107885,807019,2,44.26327149336202,dw,28.165191372013854,2236.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000133f,7744067,1781,4929,0,1,51,249,0,40,3,25.208065416502244,dw,22.99609019443462,1807.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000012d6,19001,253920,1514912,5089,120487,4859,444919,1954422,2364880,4,40.11932826544235,dw,23.651756343581404,1702.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001519,7619218,1247,381,0,0,0,24,0,151,3,23.042512601869063,dw,43.13774879686668,2281.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001520,2267913,201469,2984061,1320,62641,4847,2597829,835210,98611,6,39.233978237541955,dw,37.31652265658622,2288.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001341,8021793,459,8216,275,24,338,97,325,13937,3,29.347973254216527,dw,26.637576111142657,1809.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014e6,6224568,251574,324442,115,133,1420,175793,77324,370599,5,30.811973158395194,dw,34.70532514604306,2230.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000153c,577072,121132,353314,183,415439,25967,1102344,1983075,532800,8,41.10810570389599,dw,39.84378482297431,2316.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000151d,8180806,1652,104458,0,0,4,6812,0,721,3,32.27516998225611,dw,39.9073610889347,2285.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014e4,4026722,8583,50037,723,268,174,6633,153,634122,3,26.252366080062156,dw,36.525850123423155,2228.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000130b,1623,1252,461,0,0,13,9513,3005,209281,8,33.745412607059734,dw,24.26359070590716,1755.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000151b,7763558,33047,117856,1,9,0,944,25,312,3,27.632267850012,dw,41.54831355683858,2283.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001378,7329178,91061,412158,2647,42,4,1571,2635,23994,3,26.895593012335,dw,30.665532359431044,1864.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014c8,5840738,724,39507,94,3,39,300,68,488183,8,24.350338839423877,dw,34.51142738682327,2200.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014cf,43104,278811,1985138,7985,92793,265,813201,2561472,2864452,1,40.0160936612555,dw,27.13678756351841,2207.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001556,4037155,216948,2013704,2192,102732,16102,1427423,425014,688427,4,38.247555738154674,dw,43.870308053948335,2342.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001536,7699232,35085,140097,11,23,1,2223,10,349,3,27.08857644202434,dw,44.48960282185481,2310.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014cd,134112,79080,94977,829,872,177,269541,567527,549344,4,35.60263900292728,dw,29.51478980464951,2205.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014ce,228445,428777,1957430,5896,22618,836,1660228,3118424,1418870,6,37.81903174606241,dw,28.359356742864044,2206.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001504,1811882,348606,2086158,9589,12136,7416,1418122,1592641,607963,4,37.31116731378889,dw,34.960029350582275,2260.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001555,4036946,288670,2641608,1721,5277,941,1267487,330119,82882,4,35.88352862284761,dw,44.54340261051718,2341.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000153d,36630,63140,16901,23,144423,42890,58298,2387080,413348,8,43.40461314391891,dw,39.06718180543746,2317.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014e8,153698,204634,314539,577,441,445,635992,718567,1140231,4,35.352946233955706,dw,32.733929956349584,2232.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001326,4658938,171,1061,0,0,8829,1579,42,433142,8,31.557893405091967,dw,25.48466014887504,1782.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001537,8048545,1401,346,3,0,0,42,0,43,3,29.410038428739025,dw,43.71781728847014,2311.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000012f0,23896,53520,67811,17,1111,222,306477,367245,1731437,8,35.90498189048241,dw,22.968582864784164,1728.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001506,33145,132383,341025,163,132214,397,643858,2949265,512407,8,41.84847198059538,dw,32.926331058620804,2262.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014fe,7199711,42149,346671,122,7,2,5316,54,49152,3,23.53153768793674,dw,40.26342412678394,2254.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001557,1348336,301204,2115719,2651,2555577,67156,1225844,1532377,84694,6,40.59101345567889,dw,43.225183763431914,2343.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001342,2733803,60461,195047,3240,93,19669,3639,2773,474411,8,31.373209812300402,dw,28.577115441214023,1810.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014e5,6569369,28318,66087,248,863,170,4570,578,824784,3,28.532750462760454,dw,35.63227491671913,2229.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000151a,7737664,6949,13347,0,1,0,714,1,27,3,25.32781528808461,dw,42.348674018570655,2282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000135b,7742420,4,19,0,0,0,5,0,0,3,25.07065421266204,dw,25.880287764330156,1835.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001538,7937419,54079,160605,5222,492,44,1621,2128,85363,3,31.74942720715391,dw,42.94483148130706,2312.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001393,7492275,26053,154037,1581,73,0,499,1869,39376,3,24.64478206662743,dw,31.635802469766503,1891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014e3,2121723,16161,709,338,1592,0,1070,500,521090,3,23.974216368174805,wc,37.389812984398326,2227.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000135a,7618055,0,1,0,0,0,0,0,0,3,22.989818779014676,wc,24.08886241049551,1834.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000012f1,87565,92390,61414,2409,408515,0,321479,520671,4673938,8,37.96952366240917,wc,24.99310667924785,1729.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001340,7891451,0,0,0,0,0,0,0,0,3,27.292532980363788,wc,24.78180624326164,1808.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014cb,1691314,510807,2111734,143143,6688,0,96806,193729,738300,8,31.12589014982892,wc,31.652384823678453,2203.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001505,1177169,159231,4435805,28068,2763672,0,522,351868,183733,4,39.58851361322578,wc,33.96483835748961,2261.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
